revenue,potential_revenue,pl_inventory_percentage
344.11,486.25,-41.31
714.73,933.32,-30.58
545.01,816.35,-49.79
358.91,535.78,-49.28
364.47,526.38,-44.42
337.85,588.8,-74.28
286.32,409.64,-43.07
529.06,798.06,-50.84
703.2,1005.91,-43.05
540.86,773.62,-43.04
288.98,429.3,-48.56
573.91,820.39,-42.95
434.87,688.75,-58.38
740.02,1072.01,-44.86
736.36,1021.74,-38.76
442.62,619.81,-40.03
527.15,633.05,-20.09
440.27,680.65,-54.6
295.04,414.64,-40.54
797.44,1084.25,-35.97
441.4,672.71,-52.4
478.8,639.87,-33.64
9.45,9.45,0.0
295.38,420.11,-42.23
358.15,484.95,-35.4
515.67,775.39,-50.37
691.47,904.78,-30.85
62.96,122.03,-93.82
528.92,763.47,-44.35
400.66,542.52,-35.41
218.78,293.15,-33.99
445.05,673.31,-51.29
87.09,174.37,-100.22
515.97,675.28,-30.88
113.33,190.23,-67.85
0.0,0.0,0.0
807.16,1034.04,-28.11
307.54,390.8,-27.07
261.98,319.44,-21.93
8.24,10.39,-26.09
137.49,213.4,-55.21
483.38,640.51,-32.51
544.37,732.46,-34.55
110.4,161.58,-46.36
0.0,0.0,0.0
708.59,1067.91,-50.71
475.27,703.44,-48.01
621.92,957.65,-53.98
210.62,324.45,-54.05
194.61,277.87,-42.78
0.0,0.0,0.0
246.07,383.61,-55.89
225.45,349.15,-54.87
184.0,283.92,-54.3
30.97,54.4,-75.65
752.31,1039.13,-38.13
61.94,76.94,-24.22
201.13,288.21,-43.3
304.99,472.09,-54.79
244.39,339.25,-38.82
569.2,788.79,-38.58
279.48,411.88,-47.37
501.91,637.24,-26.96
14.0,42.59,-204.21
91.86,132.75,-44.51
415.2,612.28,-47.47
81.48,159.45,-95.69
546.72,703.51,-28.68
524.88,824.28,-57.04
335.96,502.55,-49.59
345.14,449.31,-30.18
521.06,784.45,-50.55
629.88,841.24,-33.56
320.79,421.32,-31.34
519.76,699.07,-34.5
207.38,276.77,-33.46
236.3,295.46,-25.04
729.45,1007.08,-38.06
457.19,596.62,-30.5
27.64,40.38,-46.09
583.39,850.93,-45.86
555.29,805.93,-45.14
535.73,638.56,-19.19
253.49,369.32,-45.69
739.7,1059.99,-43.3
317.21,434.74,-37.05
265.97,351.33,-32.09
39.17,67.31,-71.84
49.81,150.8,-202.75
341.73,505.38,-47.89
499.82,777.66,-55.59
206.83,267.44,-29.3
721.51,987.26,-36.83
147.95,231.93,-56.76
613.23,843.37,-37.53
341.65,511.76,-49.79
439.09,703.14,-60.14
642.48,846.4,-31.74
528.34,757.86,-43.44
129.94,176.35,-35.72
251.29,432.7,-72.19
69.74,111.22,-59.48
680.81,938.85,-37.9
582.94,825.73,-41.65
483.46,633.08,-30.95
393.11,532.32,-35.41
181.52,242.42,-33.55
127.28,156.4,-22.88
343.76,470.19,-36.78
218.91,325.24,-48.57
133.46,218.81,-63.95
628.17,914.28,-45.55
335.44,582.63,-73.69
184.76,246.16,-33.23
279.39,332.39,-18.97
68.27,101.5,-48.67
51.49,76.58,-48.73
255.99,324.61,-26.81
369.89,501.33,-35.53
244.24,320.97,-31.42
388.19,568.89,-46.55
670.99,814.61,-21.4
737.97,1014.92,-37.53
69.96,101.5,-45.08
310.2,406.83,-31.15
743.65,1036.09,-39.32
528.34,675.31,-27.82
352.22,445.99,-26.62
288.04,344.38,-19.56
245.84,313.25,-27.42
0.0,0.0,0.0
32.99,75.9,-130.07
40.14,65.78,-63.88
209.06,296.38,-41.77
176.65,251.63,-42.45
298.86,350.49,-17.28
295.61,416.12,-40.77
284.43,353.24,-24.19
228.69,331.86,-45.11
515.42,773.26,-50.03
111.28,181.58,-63.17
295.81,397.52,-34.38
71.22,82.26,-15.5
306.16,491.18,-60.43
487.44,649.27,-33.2
598.77,883.27,-47.51
217.68,265.87,-22.14
416.37,568.89,-36.63
177.96,252.36,-41.81
834.27,1122.27,-34.52
0.0,0.0,0.0
104.57,127.3,-21.74
228.24,259.7,-13.78
583.73,780.71,-33.75
0.0,0.0,0.0
546.89,790.33,-44.51
477.92,762.68,-59.58
173.24,254.28,-46.78
316.37,639.66,-102.19
467.81,700.27,-49.69
248.56,386.74,-55.59
82.32,127.24,-54.57
178.69,224.42,-25.59
101.37,126.45,-24.74
188.73,270.77,-43.47
139.17,177.8,-27.76
395.69,456.6,-15.39
152.52,165.97,-8.82
320.72,450.71,-40.53
167.16,204.89,-22.57
119.94,150.65,-25.6
444.1,817.01,-83.97
503.27,623.76,-23.94
115.19,133.57,-15.96
0.0,0.0,0.0
662.03,852.5,-28.77
527.56,751.65,-42.48
663.87,917.06,-38.14
470.27,721.01,-53.32
436.83,597.91,-36.87
718.43,996.16,-38.66
432.05,615.39,-42.43
265.67,335.5,-26.28
508.86,774.29,-52.16
564.17,746.48,-32.31
693.67,991.94,-43.0
127.29,175.51,-37.88
139.76,176.61,-26.37
101.91,146.77,-44.02
42.38,82.25,-94.08
192.12,276.81,-44.08
543.41,745.12,-37.12
628.15,853.71,-35.91
442.11,720.73,-63.02
203.55,354.58,-74.2
108.48,176.08,-62.32
426.39,737.98,-73.08
356.36,507.44,-42.4
636.24,977.41,-53.62
0.0,0.0,0.0
573.41,855.45,-49.19
249.94,336.06,-34.46
98.77,110.75,-12.13
647.46,933.83,-44.23
58.88,70.17,-19.17
0.0,0.0,0.0
566.09,786.38,-38.91
149.68,212.66,-42.08
326.19,482.46,-47.91
425.72,605.69,-42.27
108.4,191.57,-76.73
680.41,880.18,-29.36
227.37,293.32,-29.01
264.49,340.12,-28.59
236.28,360.69,-52.65
513.47,720.73,-40.36
116.1,122.55,-5.56
59.97,103.84,-73.15
106.69,158.82,-48.86
127.73,204.57,-60.16
55.83,62.82,-12.52
659.0,876.51,-33.01
304.24,380.13,-24.94
85.73,174.65,-103.72
198.56,273.54,-37.76
194.06,240.0,-23.67
257.19,360.99,-40.36
641.88,922.31,-43.69
430.21,632.85,-47.1
566.23,900.76,-59.08
452.65,567.8,-25.44
310.66,420.84,-35.47
470.43,696.2,-47.99
407.82,494.17,-21.17
325.46,475.12,-45.98
304.98,454.83,-49.13
215.07,257.65,-19.8
734.24,1090.37,-48.5
614.03,868.37,-41.42
191.72,283.21,-47.72
77.68,85.43,-9.98
15.89,15.89,0.0
157.64,203.4,-29.03
236.64,277.82,-17.4
193.19,274.87,-42.28
566.43,747.29,-31.93
461.41,715.24,-55.01
71.41,89.59,-25.46
739.94,1185.1,-60.16
549.23,831.51,-51.4
369.74,480.93,-30.07
136.43,175.4,-28.56
172.25,207.12,-20.24
443.11,728.78,-64.47
447.11,652.28,-45.89
706.66,1024.89,-45.03
96.64,111.89,-15.78
290.1,360.72,-24.34
475.36,654.94,-37.78
