Name,Form,Temper,Temper Code,Tensile Strength,Thermal ConductivityBtu/ sq ft/ ft hr/ °F at 68°F,Cu(1.2.3,Pb,Zn,Fe,P,Ag,As,O,Sb,Te,Ni,Bi,Cd,sn,S,Mn,Zr,Mg,Co,Al,Be,Cr,Si,Ti,Ca,Li,B,C
C18135*,Rod,Precipitation Heat Treated or Spinodal Heat Treated and Hard,TL04,69,210,99.2,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0
C18135*,Rod,Precipitation Heat Treated or Spinodal Heat Treated and Spring,TL08,71,210,99.2,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0
C18135*,Wire,Extra Spring and Spinodal Hardened,TS10,70,210,99.2,0,0,0,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0,0,0,0.4,0,0,0,0,0,0
C18140*,Flat Products,Hard,H04,57,210,99.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0.3,0.225,0,0,0,0,0
C18140*,Flat Products,Spring,H08,71,210,99.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0.3,0.225,0,0,0,0,0
C18141,Flat Products,"Precipitation or Spinodal Heat-treated, 1/4 Hard and Thermal Stress Relieved",TR01,90,192,99.254,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0.1,0.026,0,0.1,0,0.3,0.02,0,0,0,0,0
C18142,Sheet & Strip,Hard,H04,80,191,99.575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175,0,0,0,0.25,0,0,0,0,0,0
C18143 hIgh copper,Flat Products,Spring,H08,94.3,201,99.23,0,0,0,0,0,0,0,0,0,0,0,0,0.2,0,0.05,0.1,0,0,0.1,0,0.3,0.02,0,0,0,0,0
C18145,Flat Products,1/2 Hard and Precipitation Heat Treated,TH02,83,179,99.5,0,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0,0,0.2,0,0,0,0,0,0
C18147,Wire,Hard and Precipitation Heat Treated,TH04,65.3,185,99.715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035,0,0,0,0,0.25,0,0,0,0,0,0
C18148,Rod,Hard and Precipitation Heat Treated,TH04,74,85,99.3315,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0.0065,0,0,0,0,0.65,0,0,0,0,0,0
C18148,Rod,Precipitation Heat Treated or Spinodal Heat Treated and Hard,TL04,83,85,99.3315,0,0,0,0.012,0,0,0,0,0,0,0,0,0,0,0,0.0065,0,0,0,0,0.65,0,0,0,0,0,0
C18150*,Rod,Precipitation Heat Treated or Spinodal Heat Treated and Hard,TL04,81,187,98.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,1,0,0,0,0,0,0
C18150*,Rod,Precipitation Heat Treated or Spinodal Heat Treated and Hard,TL04,79,187,98.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,1,0,0,0,0,0,0
C18150*,Rod,Spinodal Hardened-Low Strength (ATLS),TX00,65,187,98.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,1,0,0,0,0,0,0
C18150*,Wire,Precipitation Heat Treated or Spinodal Heat Treated and 1/2 Hard,TL02,68,187,98.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,1,0,0,0,0,0,0
C18150*,Wire,Precipitation Heat Treated or Spinodal Heat Treated and 1/2 Hard,TL02,69,187,98.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,1,0,0,0,0,0,0
C18150*,Wire,Precipitation Heat Treated or Spinodal Heat Treated and Hard,TL04,68,187,98.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,1,0,0,0,0,0,0
C18150*,Wire,Precipitation Heat Treated or Spinodal Heat Treated and Hard,TL04,68,187,98.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.11,0,0,0,0,1,0,0,0,0,0,0
C18160,"Flat Products, Rod & Bar","Mill-hardened Temper, TM - Hard",TM04,75,191,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0.7,0.1,0,0,0,0,0
C18160,"Flat Products, Rod & Bar","Mill-hardened Temper, TM - XHMS Spring",TM08,82,191,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0.7,0.1,0,0,0,0,0
C18160,"Flat Products, Rod & Bar","Precipitation or Spinodal Heat-treated, Spring and Thermal Stress Relieved",TR08,81,191,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.15,0,0,0,0,0.7,0.1,0,0,0,0,0
C18200 Chromium copper,Flat Products,1/4 Hard and Precipitation Heat Treated,TH01,67,80,98.85,0.05,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.1,0,0,0,0,0
C18200 Chromium copper,Flat Products,Precipitation Hardened,TF00,51,80,98.85,0.05,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.1,0,0,0,0,0
C18200 Chromium copper,Flat Products,Solution Heat Treated,TB00,34,80,98.85,0.05,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.1,0,0,0,0,0
C18200 Chromium copper,Flat Products,Solution Heat Treated and Cold Worked: 1/8 Hard,TD00,53,80,98.85,0.05,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.1,0,0,0,0,0
C18200 Chromium copper,Flat Products & Rod,Precipitation Hardened,TF00,72,80,98.85,0.05,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.1,0,0,0,0,0
C18200 Chromium copper,Flat Products & Rod,Precipitation Hardened,TF00,55,80,98.85,0.05,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.9,0.1,0,0,0,0,0
