,num_hidden_layers,neurons_per_layer,dropout_rate,optimizer,activation_function,fitness_scores
17,3.0,54.0,0.11309953817463135,nadam,relu,0.3636419001601188
18,2.0,100.0,0.1869519485002175,nadam,relu,0.37526890557581094
19,3.0,87.0,0.19975421731532286,nadam,relu,0.3923250200092306
20,2.0,89.0,0.19975421731532286,nadam,relu,0.38103228755050617
21,2.0,85.0,0.014485933029906415,nadam,relu,0.38468114221519795
22,2.0,89.0,0.2084752465079731,nadam,relu,0.3877078534706542
23,4.0,110.0,0.1869519485002175,nadam,relu,0.35974820564120297
0,2.0,93.0,0.3573950720429822,sgd,tanh,0.3703419958094881
1,2.0,93.0,0.19975421731532286,sgd,tanh,0.4024856274429568
2,2.0,70.0,0.15968542357927834,sgd,tanh,0.3762184885006261
3,6.0,85.0,0.17298116180354806,sgd,tanh,0.3961871243651429
4,2.0,75.0,0.1869519485002175,sgd,tanh,0.3879079930415963
5,1.0,39.0,0.2589180623217192,sgd,tanh,0.3978528982810313
6,2.0,100.0,0.11309953817463135,sgd,tanh,0.38894494490234677
7,2.0,69.0,0.19975421731532286,sgd,tanh,0.3883697466302849
8,3.0,85.0,0.12316073143079966,sgd,tanh,0.4270114786142649
9,5.0,75.0,0.17298116180354806,sgd,tanh,0.3716149165729351
10,3.0,82.0,0.23204372201091866,sgd,tanh,0.3180759240759241
11,3.0,82.0,0.34089661776708285,sgd,tanh,0.36770309043183536
12,2.0,85.0,0.014485933029906415,sgd,tanh,0.38960336392642225
13,3.0,44.0,0.1869519485002175,sgd,tanh,0.3778203898672333
14,3.0,101.0,0.3398756843981485,sgd,tanh,0.3724534134434686
15,3.0,95.0,0.3398756843981485,sgd,tanh,0.3500554260554261
16,3.0,97.0,0.3398756843981485,sgd,tanh,0.3604466003638892
17,3.0,54.0,0.11309953817463135,sgd,tanh,0.3859418417839471
18,2.0,100.0,0.1869519485002175,sgd,tanh,0.351825005099147
19,3.0,87.0,0.19975421731532286,sgd,tanh,0.3514686115794713
20,2.0,89.0,0.19975421731532286,sgd,tanh,0.3888296747310799
21,2.0,85.0,0.014485933029906415,sgd,tanh,0.3827571850234389
22,2.0,89.0,0.2084752465079731,sgd,tanh,0.39526908382743625
23,4.0,110.0,0.1869519485002175,sgd,tanh,0.3800842705505306
0,2.0,93.0,0.3573950720429822,rmsprop,tanh,0.3915468028042451
1,2.0,93.0,0.19975421731532286,rmsprop,tanh,0.36856117875932115
2,2.0,70.0,0.15968542357927834,rmsprop,tanh,0.3911559040262769
3,6.0,85.0,0.17298116180354806,rmsprop,tanh,0.4042781200492871
4,2.0,75.0,0.1869519485002175,rmsprop,tanh,0.38042665642519186
5,1.0,39.0,0.2589180623217192,rmsprop,tanh,0.3784666672535213
6,2.0,100.0,0.11309953817463135,rmsprop,tanh,0.3819071753977017
7,2.0,69.0,0.19975421731532286,rmsprop,tanh,0.3938605020710284
8,3.0,85.0,0.12316073143079966,rmsprop,tanh,0.3588266470371734
9,5.0,75.0,0.17298116180354806,rmsprop,tanh,0.3914921384085471
10,3.0,82.0,0.23204372201091866,rmsprop,tanh,0.3689488091887473
11,3.0,82.0,0.34089661776708285,rmsprop,tanh,0.3591949431854695
12,2.0,85.0,0.014485933029906415,rmsprop,tanh,0.38615034088718303
13,3.0,44.0,0.1869519485002175,rmsprop,tanh,0.37098711798180617
14,3.0,101.0,0.3398756843981485,rmsprop,tanh,0.37474813535542284
15,3.0,95.0,0.3398756843981485,rmsprop,tanh,0.3829487287764497
16,3.0,97.0,0.3398756843981485,rmsprop,tanh,0.36343874137558346
17,3.0,54.0,0.11309953817463135,rmsprop,tanh,0.37095292334349256
18,2.0,100.0,0.1869519485002175,rmsprop,tanh,0.36261023704193984
19,3.0,87.0,0.19975421731532286,rmsprop,tanh,0.3707128941637624
20,2.0,89.0,0.19975421731532286,rmsprop,tanh,0.404159183128533
21,2.0,85.0,0.014485933029906415,rmsprop,tanh,0.37843079796020973
22,2.0,89.0,0.2084752465079731,rmsprop,tanh,0.36830718269584667
23,4.0,110.0,0.1869519485002175,rmsprop,tanh,0.3806160003455063
