day_no,total_customers,store_customers,store_name,revenue_actual,revenue_potential,pl_perc,num_disappointed,disappointment%
163,28,18,bharat,556.51,556.51,0.0,0,0.0
164,43,14,ajijo,34.05,34.05,0.0,11,78.57
164,43,29,bharat,1420.6,1420.6,0.0,0,0.0
165,43,17,ajijo,0.0,0.0,0.0,17,100.0
165,43,26,bharat,977.79,977.79,0.0,0,0.0
166,18,5,ajijo,4.99,4.99,0.0,4,80.0
166,18,13,bharat,612.65,612.65,0.0,0,0.0
167,18,5,ajijo,4.5,4.5,0.0,4,80.0
167,18,13,bharat,494.01,494.01,0.0,0,0.0
168,13,2,ajijo,0.0,0.0,0.0,2,100.0
168,13,11,bharat,395.24,395.24,0.0,0,0.0
169,12,1,ajijo,0.0,0.0,0.0,1,100.0
169,12,11,bharat,466.72,466.72,0.0,0,0.0
170,22,10,ajijo,6.75,6.75,0.0,9,90.0
170,22,12,bharat,428.26,428.26,0.0,0,0.0
171,44,10,ajijo,22.98,22.98,0.0,8,80.0
171,44,34,bharat,1534.31,1534.31,0.0,0,0.0
172,31,9,ajijo,44.22,44.22,0.0,6,66.67
172,31,22,bharat,1169.3,1169.3,0.0,0,0.0
173,18,5,ajijo,24.62,24.62,0.0,4,80.0
173,18,13,bharat,406.08,406.08,0.0,0,0.0
174,28,6,ajijo,3.99,3.99,0.0,5,83.33
174,28,22,bharat,934.99,934.99,0.0,0,0.0
175,39,10,ajijo,0.0,0.0,0.0,10,100.0
175,39,29,bharat,1118.81,1118.81,0.0,0,0.0
176,19,3,ajijo,0.0,0.0,0.0,3,100.0
176,19,16,bharat,549.04,549.04,0.0,0,0.0
177,2,1,ajijo,17.23,17.23,0.0,0,0.0
177,2,1,bharat,74.56,74.56,0.0,0,0.0
178,31,11,ajijo,14.73,14.73,0.0,8,72.73
178,31,20,bharat,640.33,640.33,0.0,0,0.0
179,39,12,ajijo,0.0,0.0,0.0,12,100.0
179,39,27,bharat,1055.52,1055.52,0.0,0,0.0
180,31,12,ajijo,0.0,0.0,0.0,12,100.0
180,31,19,bharat,712.01,712.01,0.0,0,0.0
181,10,4,ajijo,0.0,0.0,0.0,4,100.0
181,10,6,bharat,188.3,188.3,0.0,0,0.0
182,27,11,ajijo,10.95,10.95,0.0,10,90.91
182,27,16,bharat,549.97,549.97,0.0,0,0.0
183,47,14,ajijo,0.0,0.0,0.0,14,100.0
183,47,33,bharat,1351.46,1351.46,0.0,0,0.0
184,48,11,ajijo,31.99,31.99,0.0,9,81.82
184,48,37,bharat,1438.97,1438.97,0.0,0,0.0
185,48,12,ajijo,0.0,0.0,0.0,12,100.0
185,48,36,bharat,1411.79,1411.79,0.0,0,0.0
186,26,10,ajijo,10.28,10.28,0.0,9,90.0
186,26,16,bharat,873.35,873.35,0.0,0,0.0
187,30,9,ajijo,1.75,1.75,0.0,8,88.89
187,30,21,bharat,896.69,896.69,0.0,0,0.0
188,36,10,ajijo,17.99,17.99,0.0,9,90.0
188,36,26,bharat,902.01,902.01,0.0,0,0.0
189,21,10,ajijo,0.0,0.0,0.0,10,100.0
189,21,11,bharat,382.51,382.51,0.0,0,0.0
190,28,7,ajijo,0.0,0.0,0.0,7,100.0
190,28,21,bharat,832.05,832.05,0.0,0,0.0
191,5,1,ajijo,0.0,0.0,0.0,1,100.0
191,5,4,bharat,160.8,160.8,0.0,0,0.0
192,6,4,ajijo,18.0,18.0,0.0,3,75.0
192,6,2,bharat,47.89,47.89,0.0,0,0.0
193,20,3,ajijo,3.0,3.0,0.0,2,66.67
193,20,17,bharat,563.85,563.85,0.0,0,0.0
194,2,1,ajijo,0.0,0.0,0.0,1,100.0
194,2,1,bharat,65.7,65.7,0.0,0,0.0
195,43,8,ajijo,34.69,34.69,0.0,6,75.0
195,43,35,bharat,1533.24,1533.24,0.0,0,0.0
196,45,16,ajijo,68.96,68.96,0.0,11,68.75
196,45,29,bharat,1099.62,1099.62,0.0,0,0.0
197,22,6,ajijo,22.94,22.94,0.0,5,83.33
197,22,16,bharat,721.93,721.93,0.0,0,0.0
198,26,4,ajijo,24.04,24.04,0.0,2,50.0
198,26,22,bharat,1040.31,1040.31,0.0,0,0.0
199,35,12,ajijo,47.17,47.17,0.0,10,83.33
199,35,23,bharat,1026.66,1026.66,0.0,0,0.0
200,1,1,ajijo,0.0,0.0,0.0,1,100.0
200,1,0,bharat,0.0,0.0,0.0,0,
201,8,3,ajijo,9.5,9.5,0.0,2,66.67
201,8,5,bharat,183.82,183.82,0.0,0,0.0
202,2,2,ajijo,27.31,27.31,0.0,0,0.0
202,2,0,bharat,0.0,0.0,0.0,0,
203,17,7,ajijo,53.2,53.2,0.0,6,85.71
203,17,10,bharat,468.42,468.42,0.0,0,0.0
204,49,18,ajijo,49.53,49.53,0.0,15,83.33
204,49,31,bharat,1489.51,1489.51,0.0,0,0.0
205,15,3,ajijo,0.0,0.0,0.0,3,100.0
205,15,12,bharat,385.19,385.19,0.0,0,0.0
206,3,1,ajijo,5.98,5.98,0.0,0,0.0
206,3,2,bharat,62.81,62.81,0.0,0,0.0
207,3,0,ajijo,0.0,0.0,0.0,0,
207,3,3,bharat,102.71,102.71,0.0,0,0.0
208,29,7,ajijo,12.48,12.48,0.0,6,85.71
208,29,22,bharat,825.7,825.7,0.0,0,0.0
209,36,6,ajijo,7.74,7.74,0.0,5,83.33
209,36,30,bharat,1384.15,1384.15,0.0,0,0.0
210,34,18,ajijo,21.29,21.29,0.0,15,83.33
210,34,16,bharat,628.38,628.38,0.0,0,0.0
211,44,15,ajijo,0.0,0.0,0.0,15,100.0
211,44,29,bharat,1187.66,1187.66,0.0,0,0.0
212,11,5,ajijo,0.0,0.0,0.0,5,100.0
212,11,6,bharat,162.54,162.54,0.0,0,0.0
213,44,15,ajijo,88.41,88.41,0.0,12,80.0
213,44,29,bharat,1225.38,1225.38,0.0,0,0.0
214,49,14,ajijo,130.35,130.35,0.0,7,50.0
214,49,35,bharat,1449.33,1449.33,0.0,0,0.0
215,1,0,ajijo,0.0,0.0,0.0,0,
215,1,1,bharat,83.92,83.92,0.0,0,0.0
216,34,11,ajijo,23.98,23.98,0.0,10,90.91
216,34,23,bharat,880.08,880.08,0.0,0,0.0
217,24,11,ajijo,0.0,0.0,0.0,11,100.0
217,24,13,bharat,509.72,509.72,0.0,0,0.0
218,25,6,ajijo,7.99,7.99,0.0,5,83.33
218,25,19,bharat,840.36,840.36,0.0,0,0.0
219,30,13,ajijo,11.5,11.5,0.0,12,92.31
219,30,17,bharat,649.07,649.07,0.0,0,0.0
220,12,3,ajijo,0.0,0.0,0.0,3,100.0
220,12,9,bharat,413.91,413.91,0.0,0,0.0
221,40,9,ajijo,125.06,125.06,0.0,4,44.44
221,40,31,bharat,1270.91,1270.91,0.0,0,0.0
222,46,18,ajijo,40.84,40.84,0.0,13,72.22
222,46,28,bharat,1328.75,1328.75,0.0,0,0.0
223,15,2,ajijo,7.24,7.24,0.0,1,50.0
223,15,13,bharat,490.39,490.39,0.0,0,0.0
224,21,7,ajijo,0.0,0.0,0.0,7,100.0
224,21,14,bharat,609.08,609.08,0.0,0,0.0
225,1,1,ajijo,0.0,0.0,0.0,1,100.0
225,1,0,bharat,0.0,0.0,0.0,0,
226,2,2,ajijo,0.0,0.0,0.0,2,100.0
226,2,0,bharat,0.0,0.0,0.0,0,
227,10,3,ajijo,0.0,0.0,0.0,3,100.0
227,10,7,bharat,286.85,286.85,0.0,0,0.0
228,22,6,ajijo,11.0,11.0,0.0,4,66.67
228,22,16,bharat,625.84,625.84,0.0,0,0.0
229,39,13,ajijo,36.66,36.66,0.0,9,69.23
229,39,26,bharat,990.47,990.47,0.0,0,0.0
230,40,18,ajijo,0.0,0.0,0.0,18,100.0
230,40,22,bharat,867.91,867.91,0.0,0,0.0
231,31,5,ajijo,0.0,0.0,0.0,5,100.0
231,31,26,bharat,1133.09,1133.09,0.0,0,0.0
232,40,9,ajijo,0.0,0.0,0.0,9,100.0
232,40,31,bharat,1567.38,1567.38,0.0,0,0.0
233,29,13,ajijo,5.5,5.5,0.0,11,84.62
233,29,16,bharat,789.3,789.3,0.0,0,0.0
234,6,2,ajijo,0.0,0.0,0.0,2,100.0
234,6,4,bharat,250.51,250.51,0.0,0,0.0
235,49,19,ajijo,69.82,69.82,0.0,15,78.95
235,49,30,bharat,1250.43,1250.43,0.0,0,0.0
236,42,14,ajijo,18.24,18.24,0.0,13,92.86
236,42,28,bharat,1281.4,1281.4,0.0,0,0.0
237,36,14,ajijo,11.95,11.95,0.0,13,92.86
237,36,22,bharat,835.89,835.89,0.0,0,0.0
238,14,6,ajijo,9.75,9.75,0.0,5,83.33
238,14,8,bharat,405.22,405.22,0.0,0,0.0
239,15,5,ajijo,4.5,4.5,0.0,4,80.0
239,15,10,bharat,455.24,455.24,0.0,0,0.0
240,34,13,ajijo,76.81,76.81,0.0,8,61.54
240,34,21,bharat,896.3,896.3,0.0,0,0.0
