revenue,potential_revenue,pl_inventory_percentage
960.36,960.36,0.0
1098.91,1098.91,0.0
710.48,710.48,0.0
134.06,134.06,0.0
166.35,166.35,0.0
450.53,450.53,0.0
1277.49,1277.49,0.0
183.78,183.78,0.0
828.43,828.43,0.0
748.8,748.8,0.0
1203.04,1203.04,0.0
1216.73,1216.73,0.0
187.49,187.49,0.0
970.71,970.71,0.0
260.81,260.81,0.0
380.07,380.07,0.0
371.99,371.99,0.0
110.98,110.98,0.0
159.14,159.14,0.0
488.12,488.12,0.0
234.33,234.33,0.0
623.64,623.64,0.0
625.75,625.75,0.0
32.34,32.34,0.0
352.79,352.79,0.0
776.26,776.26,0.0
123.17,123.17,0.0
574.27,574.27,0.0
77.8,77.8,0.0
405.95,405.95,0.0
1077.35,1077.35,0.0
452.98,452.98,0.0
858.76,858.76,0.0
589.76,589.76,0.0
52.08,52.08,0.0
20.09,20.09,0.0
677.41,677.41,0.0
550.12,550.12,0.0
349.74,349.74,0.0
1090.6,1090.6,0.0
165.93,165.93,0.0
1303.43,1303.43,0.0
1044.1,1044.1,0.0
749.12,749.12,0.0
381.71,381.71,0.0
1010.64,1010.64,0.0
724.57,724.57,0.0
304.25,304.25,0.0
1015.25,1015.25,0.0
96.63,96.63,0.0
216.09,216.09,0.0
1108.93,1108.93,0.0
1037.44,1037.44,0.0
26.14,26.14,0.0
968.99,968.99,0.0
667.12,667.12,0.0
668.82,668.82,0.0
623.65,623.65,0.0
1042.73,1042.73,0.0
48.48,48.48,0.0
904.08,904.08,0.0
661.1,661.1,0.0
0.0,0.0,0.0
1436.23,1436.23,0.0
433.61,433.61,0.0
1083.11,1083.11,0.0
653.22,653.22,0.0
1196.33,1196.33,0.0
384.82,384.82,0.0
642.17,642.17,0.0
724.58,724.58,0.0
356.23,356.23,0.0
1154.72,1154.72,0.0
500.4,500.4,0.0
295.09,295.09,0.0
536.12,536.12,0.0
856.02,856.02,0.0
658.07,658.07,0.0
1201.17,1201.17,0.0
95.32,95.32,0.0
455.87,455.87,0.0
73.11,73.11,0.0
306.39,306.39,0.0
424.72,424.72,0.0
105.71,105.71,0.0
949.73,949.73,0.0
1094.97,1094.97,0.0
729.16,729.16,0.0
1306.93,1306.93,0.0
811.46,811.46,0.0
1153.72,1153.72,0.0
465.66,465.66,0.0
414.46,414.46,0.0
1438.01,1438.01,0.0
424.63,424.63,0.0
140.84,140.84,0.0
417.31,417.31,0.0
179.91,179.91,0.0
592.16,592.16,0.0
464.0,464.0,0.0
0.0,0.0,0.0
551.89,551.89,0.0
295.33,295.33,0.0
457.14,457.14,0.0
674.15,674.15,0.0
584.32,584.32,0.0
924.59,924.59,0.0
581.18,581.18,0.0
448.09,448.09,0.0
211.11,211.11,0.0
152.98,152.98,0.0
718.11,718.11,0.0
68.07,68.07,0.0
738.73,738.73,0.0
935.32,935.32,0.0
170.21,170.21,0.0
1215.58,1215.58,0.0
533.95,533.95,0.0
957.97,957.97,0.0
222.29,222.29,0.0
59.64,59.64,0.0
1114.11,1114.11,0.0
282.31,282.31,0.0
562.54,562.54,0.0
758.6,758.6,0.0
1294.32,1294.32,0.0
107.75,107.75,0.0
0.0,0.0,0.0
516.35,516.35,0.0
452.84,452.84,0.0
750.22,750.22,0.0
695.32,695.32,0.0
965.39,965.39,0.0
297.49,297.49,0.0
378.36,378.36,0.0
1021.59,1021.59,0.0
253.98,253.98,0.0
324.3,324.3,0.0
363.88,363.88,0.0
1395.35,1395.35,0.0
914.55,914.55,0.0
0.0,0.0,0.0
428.47,428.47,0.0
35.48,35.48,0.0
57.87,57.87,0.0
1012.3,1012.3,0.0
93.07,93.07,0.0
1368.56,1368.56,0.0
1006.41,1006.41,0.0
205.5,205.5,0.0
145.73,145.73,0.0
917.83,917.83,0.0
395.11,395.11,0.0
163.36,163.36,0.0
995.5,995.5,0.0
614.73,614.73,0.0
952.3,952.3,0.0
991.72,991.72,0.0
874.15,874.15,0.0
690.85,690.85,0.0
898.32,898.32,0.0
449.35,449.35,0.0
1370.68,1370.68,0.0
449.01,449.01,0.0
1070.17,1070.17,0.0
590.83,590.83,0.0
362.74,362.74,0.0
781.51,781.51,0.0
12.73,12.73,0.0
626.87,626.87,0.0
54.82,54.82,0.0
353.11,353.11,0.0
300.17,300.17,0.0
920.21,920.21,0.0
603.86,603.86,0.0
953.61,953.61,0.0
134.57,134.57,0.0
560.06,560.06,0.0
336.78,336.78,0.0
0.0,0.0,0.0
551.07,551.07,0.0
1206.9,1206.9,0.0
0.0,0.0,0.0
256.62,256.62,0.0
1349.32,1349.32,0.0
315.04,315.04,0.0
803.99,803.99,0.0
831.45,831.45,0.0
484.38,484.38,0.0
633.97,633.97,0.0
630.84,630.84,0.0
721.66,721.66,0.0
1404.55,1404.55,0.0
1265.76,1265.76,0.0
458.43,458.43,0.0
924.46,924.46,0.0
1122.78,1122.78,0.0
249.09,249.09,0.0
144.02,144.02,0.0
952.79,952.79,0.0
189.95,189.95,0.0
973.25,973.25,0.0
124.93,124.93,0.0
583.53,583.53,0.0
0.0,0.0,0.0
702.57,702.57,0.0
168.95,168.95,0.0
983.32,983.32,0.0
707.35,707.35,0.0
0.0,0.0,0.0
701.86,701.86,0.0
278.73,278.73,0.0
579.55,579.55,0.0
709.63,709.63,0.0
921.01,921.01,0.0
0.0,0.0,0.0
0.0,0.0,0.0
338.2,338.2,0.0
219.54,219.54,0.0
454.89,454.89,0.0
706.51,706.51,0.0
112.37,112.37,0.0
323.1,323.1,0.0
90.36,90.36,0.0
717.92,717.92,0.0
1092.73,1092.73,0.0
1205.54,1205.54,0.0
0.0,0.0,0.0
1284.5,1284.5,0.0
144.8,144.8,0.0
295.24,295.24,0.0
934.13,934.13,0.0
207.83,207.83,0.0
1091.55,1091.55,0.0
595.44,595.44,0.0
358.47,358.47,0.0
1117.86,1117.86,0.0
269.01,269.01,0.0
24.19,24.19,0.0
765.72,765.72,0.0
899.68,899.68,0.0
75.21,75.21,0.0
1016.99,1016.99,0.0
381.11,381.11,0.0
1267.76,1267.76,0.0
1244.29,1244.29,0.0
718.78,718.78,0.0
437.63,437.63,0.0
91.67,91.67,0.0
274.79,274.79,0.0
251.95,251.95,0.0
680.79,680.79,0.0
336.32,336.32,0.0
1114.74,1114.74,0.0
875.87,875.87,0.0
333.03,333.03,0.0
855.79,855.79,0.0
1109.5,1109.5,0.0
835.71,835.71,0.0
490.98,490.98,0.0
471.78,471.78,0.0
993.43,993.43,0.0
80.17,80.17,0.0
1000.83,1000.83,0.0
545.73,545.73,0.0
395.23,395.23,0.0
346.11,346.11,0.0
669.65,669.65,0.0
269.46,269.46,0.0
632.79,632.79,0.0
958.51,958.51,0.0
159.35,159.35,0.0
697.93,697.93,0.0
295.01,295.01,0.0
511.72,511.72,0.0
1164.22,1164.22,0.0
1141.42,1141.42,0.0
425.77,425.77,0.0
412.69,412.69,0.0
197.72,197.72,0.0
706.86,706.86,0.0
978.69,978.69,0.0
205.09,205.09,0.0
500.13,500.13,0.0
54.16,54.16,0.0
1007.16,1007.16,0.0
1022.17,1022.17,0.0
88.32,88.32,0.0
227.44,227.44,0.0
1284.42,1284.42,0.0
0.0,0.0,0.0
57.51,57.51,0.0
458.23,458.23,0.0
54.75,54.75,0.0
235.1,235.1,0.0
300.77,300.77,0.0
561.27,561.27,0.0
126.35,126.35,0.0
97.78,97.78,0.0
