name,inventory,price,price_correspondance,collection,item_url
BRITANNIA 50 50 SWEET & SALTY 62G,21,$1.50,'/products/britannia-50-50-sweet-salty-62g',biscuits-cookies-britannia,https://www.ajijo.com.au/collections/biscuits-cookies-britannia/products/britannia-50-50-sweet-salty-62g
BRITANNIA 50 50 SWEET CLASSIC SALTED 312 G,16,$4.50,'/products/britannia-50-50-sweet-classic-salted-312-g',biscuits-cookies-britannia,https://www.ajijo.com.au/collections/biscuits-cookies-britannia/products/britannia-50-50-sweet-classic-salted-312-g
"KACCHA MANGO BITE, PARLE, 102.92G",3,$2.99,'/products/kaccha-mango-bite-parle-102-92g',biscuits-cookies-britannia,https://www.ajijo.com.au/collections/biscuits-cookies-britannia/products/kaccha-mango-bite-parle-102-92g
Britannia Tiger Glucose Biscuits 600g,2,$5.95,'/products/tiger-glucose-biscuits-600g',biscuits-cookies-britannia,https://www.ajijo.com.au/collections/biscuits-cookies-britannia/products/tiger-glucose-biscuits-600g
Britannia Tiger Glucose Biscuits 50g,-199,$1.00,'/products/tiger-glucose-50g',biscuits-cookies-britannia,https://www.ajijo.com.au/collections/biscuits-cookies-britannia/products/tiger-glucose-50g
Britannia Good Day Wonderfulls Biscuits 75g,20,$1.75,'/products/wonderfulls-goodday-75g',biscuits-cookies-britannia,https://www.ajijo.com.au/collections/biscuits-cookies-britannia/products/wonderfulls-goodday-75g
CADBURY COOKIES DOUBLE CHOC 156G,-199,$4.00,'/products/cadbury-cookies-double-choc-156g',biscuits-cookies-cadbury,https://www.ajijo.com.au/collections/biscuits-cookies-cadbury/products/cadbury-cookies-double-choc-156g
Cherab's Kaju Cookies 300g,-199,$4.95,'/products/kaju-cookies-cherabs-300g',biscuits-cookies-cherab,https://www.ajijo.com.au/collections/biscuits-cookies-cherab/products/kaju-cookies-cherabs-300g
CHERAB'S JEERA COOKIES 300G,-199,$5.99,'/products/cherab-jeera-cookies-300g',biscuits-cookies-cherab,https://www.ajijo.com.au/collections/biscuits-cookies-cherab/products/cherab-jeera-cookies-300g
CHERAB'S COCONUT COOKIES 300G,-199,$5.99,'/products/cherab-coconut-cookies300gram',biscuits-cookies-cherab,https://www.ajijo.com.au/collections/biscuits-cookies-cherab/products/cherab-coconut-cookies300gram
CHERAB'S ATTA BISCUITS 320G,-199,$5.99,'/products/cherab-atta-biscuits-320g',biscuits-cookies-cherab,https://www.ajijo.com.au/collections/biscuits-cookies-cherab/products/cherab-atta-biscuits-320g
CHERAB'S ATTA BISCUITS 1KG,10,$12.95,'/products/cherab-atta-biscuits-1kg',biscuits-cookies-cherab,https://www.ajijo.com.au/collections/biscuits-cookies-cherab/products/cherab-atta-biscuits-1kg
CHERAB'S AJWAIN COOKIES 320G,-199,$5.99,'/products/cherab-ajwain-cookies-320gram',biscuits-cookies-cherab,https://www.ajijo.com.au/collections/biscuits-cookies-cherab/products/cherab-ajwain-cookies-320gram
Karachi Osmania Biscuits 400g,-199,$5.99,'/products/osmania-biscuits-karachi-400g',biscuits-cookies-karachi,https://www.ajijo.com.au/collections/biscuits-cookies-karachi/products/osmania-biscuits-karachi-400g
Karachi Kaju Badam Biscuits 400g,-199,$5.99,'/products/kaju-badam-biscuits-karachi',biscuits-cookies-karachi,https://www.ajijo.com.au/collections/biscuits-cookies-karachi/products/kaju-badam-biscuits-karachi
Karachi's Almond Biscuits 400g,-199,$5.99,'/products/almond-biscuits-karachis-400g',biscuits-cookies-karachi,https://www.ajijo.com.au/collections/biscuits-cookies-karachi/products/almond-biscuits-karachis-400g
OREO RED VELVET 137G,-199,$2.15,'/products/orio-red-velvet-137g',biscuits-cookies-oreo,https://www.ajijo.com.au/collections/biscuits-cookies-oreo/products/orio-red-velvet-137g
OREO ORIGINAL VANILLA 137G,-199,$2.15,'/products/oreo-original-vanilla-137g',biscuits-cookies-oreo,https://www.ajijo.com.au/collections/biscuits-cookies-oreo/products/oreo-original-vanilla-137g
OREO ORIGINAL 137G,-199,$2.15,'/products/oreo-original',biscuits-cookies-oreo,https://www.ajijo.com.au/collections/biscuits-cookies-oreo/products/oreo-original
OREO CHOC SPLIT 137G,-199,$2.15,'/products/oreo-choc-split-137g',biscuits-cookies-oreo,https://www.ajijo.com.au/collections/biscuits-cookies-oreo/products/oreo-choc-split-137g
Tim Tam Dark Biscuits 200g,15,$4.00,'/products/tim-tam-dark-200g',biscuits-cookies-others,https://www.ajijo.com.au/collections/biscuits-cookies-others/products/tim-tam-dark-200g
RITZ ORIGINAL CRACKERS 100G,-199,$1.50,'/products/ritz-original-crackers-100g',biscuits-cookies-others,https://www.ajijo.com.au/collections/biscuits-cookies-others/products/ritz-original-crackers-100g
RITZ CHOC FLAVOURED 118G,-199,$1.50,'/products/ritz-choc-flavoured118gram',biscuits-cookies-others,https://www.ajijo.com.au/collections/biscuits-cookies-others/products/ritz-choc-flavoured118gram
PARLE HIDE & SEEK CHOCOLATE BISCUITS VALUE PACK,-199,$5.95,'/products/parlehide-seek-chocolate-biscuits-value-pack',biscuits-cookies-parle,https://www.ajijo.com.au/collections/biscuits-cookies-parle/products/parlehide-seek-chocolate-biscuits-value-pack
PARLE KRACKJACK BISCUITS VALUE PACK,-199,$4.50,'/products/parle-krackjack-biscuits-value-pack',biscuits-cookies-parle,https://www.ajijo.com.au/collections/biscuits-cookies-parle/products/parle-krackjack-biscuits-value-pack
PARLE G BISCUIT 799G,9,$5.99,'/products/parle-g-biscuit-799g',biscuits-cookies-parle,https://www.ajijo.com.au/collections/biscuits-cookies-parle/products/parle-g-biscuit-799g
Parle Monaco Biscuits Value Pack,-199,$4.50,'/products/monaco-biscuits-value-packparle',biscuits-cookies-parle,https://www.ajijo.com.au/collections/biscuits-cookies-parle/products/monaco-biscuits-value-packparle
CURRY POWDER MILD BOLSTS 500G,-99,$12.95,'/products/curry-powder-mild-bolsts-500g',bolsts,https://www.ajijo.com.au/collections/bolsts/products/curry-powder-mild-bolsts-500g
CURRY POWDER HOT BOLSTS 500G,-99,$12.95,'/products/curry-powder-hot-bolsts-500g',bolsts,https://www.ajijo.com.au/collections/bolsts/products/curry-powder-hot-bolsts-500g
"CURRY POWDER MILD, BOLST'S, 100G",2,$4.50,'/products/curry-powder-mild-bolsts-100g',bolsts,https://www.ajijo.com.au/collections/bolsts/products/curry-powder-mild-bolsts-100g
"CURRY POWDER HOT, BOLSTS, 100G",6,$4.50,'/products/curry-powder-hot-bolsts-100g',bolsts,https://www.ajijo.com.au/collections/bolsts/products/curry-powder-hot-bolsts-100g
"GARAM MASALA, BRAHMINS, 100G",2,$3.95,'/products/garam-masala-brahmins-100g',brahmin,https://www.ajijo.com.au/collections/brahmin/products/garam-masala-brahmins-100g
"SAMBAR POWDER, BRAHMINS, 200G",8,$3.75,'/products/sambar-powder-brahmins-200g',brahmin,https://www.ajijo.com.au/collections/brahmin/products/sambar-powder-brahmins-200g
TURMERIC POWDER BRAHMINS 250G,-199,$3.50,'/products/turmeric-powder-brahmins-250g',brahmin,https://www.ajijo.com.au/collections/brahmin/products/turmeric-powder-brahmins-250g
PICKLE POWDER BRAHMINS 100G,-99,$2.75,'/products/pickle-powder-brahmins-100g',brahmin,https://www.ajijo.com.au/collections/brahmin/products/pickle-powder-brahmins-100g
"RASAM POWDER, BRAHMINS, 100G",-199,$2.50,'/products/rasam-powder-brahmins-100g',brahmin,https://www.ajijo.com.au/collections/brahmin/products/rasam-powder-brahmins-100g
"CHUTNEY POWDER, BRAHMINS, 100G",8,$2.99,'/products/chutney-powder-brahmins-100g',brahmin,https://www.ajijo.com.au/collections/brahmin/products/chutney-powder-brahmins-100g
CORN FLAKES KELLOGG'S 725 G,12,$4.99,'/products/corn-flakes-kelloggs-725-g',breakfast-cereals,https://www.ajijo.com.au/collections/breakfast-cereals/products/corn-flakes-kelloggs-725-g
WEET BIX 1.12kg,2,$6.50,'/products/weet-bix-1-12kg',breakfast-cereals,https://www.ajijo.com.au/collections/breakfast-cereals/products/weet-bix-1-12kg
WEET BIX 375G,-199,$3.99,'/products/weet-bix',breakfast-cereals,https://www.ajijo.com.au/collections/breakfast-cereals/products/weet-bix
ROLLED OATS LOWAN 1KG,7,$4.50,'/products/rolled-oats-lowan-1kg',breakfast-cereals,https://www.ajijo.com.au/collections/breakfast-cereals/products/rolled-oats-lowan-1kg
KELLOGG'S SULTANA BRAN CREREAL 500G,-199,$5.85,'/products/kelloggs-sultana-bran-crereal-500g',breakfast-cereals,https://www.ajijo.com.au/collections/breakfast-cereals/products/kelloggs-sultana-bran-crereal-500g
KELLOGGS RICE BUBBLES 410G,-199,$5.55,'/products/kelloggs-rice-bubbles-410g',breakfast-cereals,https://www.ajijo.com.au/collections/breakfast-cereals/products/kelloggs-rice-bubbles-410g
KELLOGG'S NUTRI GRAIN 290G,-199,$4.95,'/products/kelloggs-nutri-grain-290g',breakfast-cereals,https://www.ajijo.com.au/collections/breakfast-cereals/products/kelloggs-nutri-grain-290g
KELLOGG'S CRUNCHY NUTS CORNFLAKES 670G,-199,$6.95,'/products/kelloggs-crunchy-nuts-cornflakes-670g',breakfast-cereals,https://www.ajijo.com.au/collections/breakfast-cereals/products/kelloggs-crunchy-nuts-cornflakes-670g
KELLOGGS ALL BRAN WHEAT FLAKES 330G,-199,$4.70,'/products/kelloggs-all-bran-wheat-flakes-330g',breakfast-cereals,https://www.ajijo.com.au/collections/breakfast-cereals/products/kelloggs-all-bran-wheat-flakes-330g
"Brown Basmati Rice, Daawat 1kg",-199,$5.95,'/products/daawat-brown-rice-1kg',brown-basmati-rice,https://www.ajijo.com.au/collections/brown-basmati-rice/products/daawat-brown-rice-1kg
"Brown Basmati Rice, Daawat 5kg",-199,$20.95,'/products/daawat-brown-rice-5kg-jar',brown-basmati-rice,https://www.ajijo.com.au/collections/brown-basmati-rice/products/daawat-brown-rice-5kg-jar
