name,price_correspondance,collection,price
777 MACKEREL IN SALTED OIL 400g,'/products/mackeral-in-salted-oil',canned-fish,$5.75
Monika Salted Anchovies 340g,'/products/salted-anchovies-monika',canned-fish,$4.35
"ALPHONSO MANGO PULP, INDYA, 800G",'/products/alphonso-mango-pulp-indya',canned-fruits,$5.99
"ADMIRAL MANDARIN SEGMENTS IN SYRUP, 310G",'/products/admiral-mandarin-segments-in-juice',canned-fruits,$1.55
ALPHONSO MANGO PULP 850 GM UTTAM,'/products/alphonso-mango-pulp-850-gm-uttam',canned-fruits,$5.50
HALEEM RTE MITCHELLS 440G,'/products/haleem-rte-mitchells-440g',canned-haleem,$4.50
"CORNED MUTTON HALAL,SALISBURY, 326G",'/products/salisbury-corned-mutton-halal-326g',canned-meat,$6.99
"GULAB JAMUN BOX, 1KG",'/products/gulab-jamun-box-1kg',canned-sweets,$12.00
"CHAM CHAM, BIKAJI, 1KG",'/products/cham-cham-bikaji-1kg',canned-sweets,$7.50
Bikaji Rasgulla 1kg,'/products/bikaji-rasgulla-1kg',canned-sweets,$7.50
Bikaji Rasmalai 1kg,'/products/rasmalai-bikaji-1kg',canned-sweets,$7.50
GRB Gulab Jamun 1kg,'/products/gulab-jamun-canned-grb-1kg',canned-sweets,$6.95
Bikaji Gulab Jamun 1kg,'/products/gulab-jamun-1kg-bika-ji',canned-sweets,$7.50
Mitchell's Tomato Puree 450g,'/products/tomato-puree-mitchells',canned-tomato,$2.99
TOMATO PUREE MAHARAJA CHOICE 3KG,'/products/tomato-puree-mc-3kg',canned-tomato,$10.50
TOMATO PASTE MAHARAJA CHOICE 3KG,'/products/tomato-paste-mc-3kg',canned-tomato,$10.50
ANNALISA TOMATO DICED 800G,'/products/tomato-diced-annalisa-800g',canned-tomato,$3.50
TOMATO CRUSHED MAHARAJA CHOICE 3KG,'/products/tomato-crushed-mc-3kg',canned-tomato,$10.50
WHISKAS TRIO MIX,'/products/whiskas-trio-mix',cat-foods,$10.99
WHISKAS TRIO FISH,'/products/whiskas-trio-fish',cat-foods,$10.99
WHISKAS MEAT WITH VEG,'/products/whiskas-meat-with-veg',cat-foods,$10.99
SEAFOOD PLATTER CATFOOD,'/products/seafood-platter-catfood',cat-foods,$2.25
SARDINE & PRAWN FLAVOUR WHISKAS 1KG,'/products/sardine-prawn-flavour-whiskas-1kg',cat-foods,$6.50
BEEF & LAMB FLAVOUR WHISKAS 1KG,'/products/beef-lamb-flavour-whiskas-1kg',cat-foods,$6.50
"MOMO MASALA, CENTURY",'/products/momo-masala-century',century,$1.99
"MEAT MASALA, CENTURY",'/products/meat-masala-century',century,$1.99
"GARAM MASALA, CENTURY 50G",'/products/garam-masala-century-50g',century,$1.99
"CURRY POWDER, CENTURY",'/products/curry-powder-century',century,$1.99
"CHICKEN MASALA, CENTURY",'/products/chicken-masala-century',century,$1.99
RUMALI ROTI 400G,'/products/rumali-roti-400g',chapatti,$4.50
PLAIN NAAN MC 280G,'/products/plain-naan-mc-280g',chapatti,$4.25
MISSI ROTI  400G,'/products/missi-roti-400g',chapatti,$4.50
METHI ROTI 400G,'/products/methi-roti-400g',chapatti,$4.00
MC PLAIN NAAN 4PCS,'/products/mc-plain-naan-4pcs',chapatti,$3.95
MASTER WHOLEMEAL ROTI 500G,'/products/master-wholemeal-roti-500g',chapatti,$4.00
MASTER MULTIGRAIN ROTI 400G,'/products/master-multigrain-roti-400g',chapatti,$4.00
GARLIC ROTI 400GR,'/products/garlic-roti-400gr',chapatti,$4.50
SWAADH ROTI HIGH FIBRE 10PK,'/products/swaadh-roti-high-fibre-10pk',chapatti,$4.00
"RED CHILLI SAUCE, CHING'S 200G",'/products/chings-red-chilli-sauce-200g',chilli-sauce,$2.99
"GREEN CHILLI SAUCE, CHING'S 190G",'/products/chings-green-chilli-sauce-190g',chilli-sauce,$3.50
"GREEN CHILLI SAUCE, MITCHELL'S  800G",'/products/mitchells-green-chilli-sauce',chilli-sauce,$4.45
MITCHELLS CHILLI GARLIC SAUCE 825G,'/products/mitchells-chilli-garlic-sauce',chilli-sauce,$4.99
MASALA CHILLI PATTU 500G,'/products/masala-chilli-pattu-500g',chilli-sauce,$4.25
HOT & SWEET SAUCE 500G PATTU,'/products/hot-sweet-sauce-500g-pattu',chilli-sauce,$4.25
"KINDER CHOCOLATE, SNACK BAR, 21G",'/products/kinder-chocolate-snack-bar-21g',chocolate,$1.25
"CURLY WURLY, CADBURY, 26G",'/products/curly-wurly-cadbury-26g',chocolate,$1.00
"STRAWBERRY BUBBLE GUM, HUBBA BUBBA, 35G",'/products/strawberry-bubble-gum-hubba-bubba-35g',chocolate,$1.50
"GRAPE BUBBLE GUM, HUBBA BUBBA, 35G",'/products/grape-bubble-gum-hubba-bubba-35g',chocolate,$1.50
"GRAPE BUBBLE TAPE, HUBBA BUBBA, 180CM",'/products/grape-bubble-tape-hubba-bubba-180cm',chocolate,$2.50
"STRAWBERRY BUBBLE TAPE, HUBBA BUBBA, 180CM",'/products/strawberry-bubble-tape-hubba-bubba-180cm',chocolate,$2.50
"CRISPY M & M’S, 145G",'/products/crispy-m-m-s-145g',chocolate,$4.00
"CARAMEL CHOMP, 30G",'/products/caramel-chomp-30g',chocolate,$1.00
PICNIC CHCOLATE KING SIZE,'/products/picnic-chcolate-king-size',chocolate,$3.50
"CADBURY DAIRY MILK FRUIT & NUT, 150G",'/products/cadbury-dairy-milk-fruit-nut-150g',chocolate-block,$4.75
CADBURY DAIRY MILK SNACK 148G,'/products/cadbury-dairy-milk-snack-148g',chocolate-block,$4.75
CADBURY DAIRY MILK TOP DECK 180g,'/products/cadbury-dairy-milk-top-deck-180g',chocolate-block,$5.50
CADBURY DAIRY MILK SNACK 180g,'/products/cadbury-dairy-milk-snack-180g',chocolate-block,$5.50
"SAMOSA CHUTNEY, SABRINI, 360G",'/products/samosa-chutney-sabrini-360g',chutney,$3.99
"SALSA DIP MEDIUM , LA COSTEÑA, 453G",'/products/salsa-dip-la-costena-453g',chutney,$3.99
"PANIPURI CONCENTRATE, PATTU, 360G",'/products/panipuri-concentrate-pattu-360g',chutney,$3.99
"SANDWICH CHUTNEY, ASHOKA, 285G",'/products/sandwich-chutney-ashoka-285g',chutney,$4.50
"PANIPURI CONCENTRATE, ASHOKA, 285G",'/products/panipuri-concentrate-ashoka-285g',chutney,$4.50
"Tamarind Chutney, Pattu, 315g",'/products/tamarind-chutney-pattu-315g',chutney,$3.99
DELHI CHAT CHUTNEY PATTU 300G,'/products/delhi-chat-chutney-pattu-300g',chutney,$4.50
